condition,rung,inv_cross_num,inv_cross_den,inv_cross_rate,inv_cross_lo,inv_cross_hi,sup_resp_num,sup_resp_den,sup_resp_rate,sup_resp_lo,sup_resp_hi,abst_absent_num,abst_absent_den,abst_absent_rate,abst_absent_lo,abst_absent_hi,parse_fail_num,parse_fail_den,parse_fail_rate,parse_fail_lo,parse_fail_hi
Qwen    s42 N/C,isolated,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,23,50,0.46,0.3296965219222468,0.5960112860084217,0,300,0.0,0.0,0.01264297122454535
Qwen    s42 N/C,boundary_preserving_topk,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,23,50,0.46,0.3296965219222468,0.5960112860084217,0,300,0.0,0.0,0.01264297122454535
Qwen    s42 N/C,shared_vector_index,100,100,1.0,0.9630065017930163,1.0,100,100,1.0,0.9630065017930163,1.0,23,50,0.46,0.3296965219222468,0.5960112860084217,0,300,0.0,0.0,0.01264297122454535
Qwen    s42 N/C,summary_merge,100,100,1.0,0.9630065017930163,1.0,100,100,1.0,0.9630065017930163,1.0,30,50,0.6,0.46181437747589743,0.7239161026974317,0,300,0.0,0.0,0.01264297122454535
Qwen    s42 C/C,isolated,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,50,50,1.0,0.928652400866645,1.0,1,300,0.0033333333333333335,0.0005886577218511806,0.018636693694530533
Qwen    s42 C/C,boundary_preserving_topk,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,49,50,0.98,0.8950455641036255,0.9964607407283537,0,300,0.0,0.0,0.01264297122454535
Qwen    s42 C/C,shared_vector_index,99,100,0.99,0.9455138038212967,0.9982325679358592,100,100,1.0,0.9630065017930163,1.0,50,50,1.0,0.928652400866645,1.0,0,300,0.0,0.0,0.01264297122454535
Qwen    s42 C/C,summary_merge,98,100,0.98,0.9299882092714581,0.9944980324498375,100,100,1.0,0.9630065017930163,1.0,47,50,0.94,0.8378290831116221,0.9793850296510255,1,300,0.0033333333333333335,0.0005886577218511806,0.018636693694530533
Qwen    s42 N/P,isolated,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,23,50,0.46,0.3296965219222468,0.5960112860084217,0,300,0.0,0.0,0.01264297122454535
Qwen    s42 N/P,boundary_preserving_topk,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,23,50,0.46,0.3296965219222468,0.5960112860084217,0,300,0.0,0.0,0.01264297122454535
Qwen    s42 N/P,shared_vector_index,100,100,1.0,0.9630065017930163,1.0,100,100,1.0,0.9630065017930163,1.0,23,50,0.46,0.3296965219222468,0.5960112860084217,0,300,0.0,0.0,0.01264297122454535
Qwen    s42 N/P,summary_merge,99,100,0.99,0.9455138038212967,0.9982325679358592,100,100,1.0,0.9630065017930163,1.0,25,50,0.5,0.36644514316828924,0.6335548568317108,0,300,0.0,0.0,0.01264297122454535
Qwen    s42 C/P,isolated,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,49,50,0.98,0.8950455641036255,0.9964607407283537,0,300,0.0,0.0,0.01264297122454535
Qwen    s42 C/P,boundary_preserving_topk,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,49,50,0.98,0.8950455641036255,0.9964607407283537,0,300,0.0,0.0,0.01264297122454535
Qwen    s42 C/P,shared_vector_index,98,100,0.98,0.9299882092714581,0.9944980324498375,100,100,1.0,0.9630065017930163,1.0,50,50,1.0,0.928652400866645,1.0,0,300,0.0,0.0,0.01264297122454535
Qwen    s42 C/P,summary_merge,97,100,0.97,0.9154806357094745,0.9897454759759607,100,100,1.0,0.9630065017930163,1.0,45,50,0.9,0.7863976856252073,0.9565242350681087,0,300,0.0,0.0,0.01264297122454535
Qwen    s43 N/C,isolated,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,22,50,0.44,0.3116219921125749,0.5769397197834278,0,300,0.0,0.0,0.01264297122454535
Qwen    s43 N/C,boundary_preserving_topk,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,23,50,0.46,0.3296965219222468,0.5960112860084217,0,300,0.0,0.0,0.01264297122454535
Qwen    s43 N/C,shared_vector_index,100,100,1.0,0.9630065017930163,1.0,100,100,1.0,0.9630065017930163,1.0,31,50,0.62,0.48150446930993357,0.7413721068980612,0,300,0.0,0.0,0.01264297122454535
Qwen    s43 N/C,summary_merge,97,100,0.97,0.9154806357094745,0.9897454759759607,100,100,1.0,0.9630065017930163,1.0,31,50,0.62,0.48150446930993357,0.7413721068980612,0,300,0.0,0.0,0.01264297122454535
Qwen    s44 N/C,isolated,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,20,50,0.4,0.27608389730256844,0.5381856225241026,0,300,0.0,0.0,0.01264297122454535
Qwen    s44 N/C,boundary_preserving_topk,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,21,50,0.42,0.2937500335471229,0.5576655823142139,0,300,0.0,0.0,0.01264297122454535
Qwen    s44 N/C,shared_vector_index,100,100,1.0,0.9630065017930163,1.0,100,100,1.0,0.9630065017930163,1.0,23,50,0.46,0.3296965219222468,0.5960112860084217,0,300,0.0,0.0,0.01264297122454535
Qwen    s44 N/C,summary_merge,100,100,1.0,0.9630065017930163,1.0,100,100,1.0,0.9630065017930163,1.0,19,50,0.38,0.2586278931019388,0.5184955306900664,0,300,0.0,0.0,0.01264297122454535
Mistral s42 N/C,isolated,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,7,50,0.14,0.06950833427016424,0.2618619371058515,0,300,0.0,0.0,0.01264297122454535
Mistral s42 N/C,boundary_preserving_topk,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,7,50,0.14,0.06950833427016424,0.2618619371058515,2,300,0.006666666666666667,0.0018301483579118427,0.023977583250306238
