condition,retriever,k,probe_queries,probe_role_complete_xb,probe_rc_xb_pct,probe_supplying_recovered,probe_supplying_total,probe_supplying_recall_pct,probes_with_any_supplying,probes_with_all_supplying,generic_queries,generic_role_complete_xb,generic_rc_xb_pct
mistral_full_cautious,BM25,10,100,9,9.0,7,500,1.4,7,0,40,0,0.0
mistral_full_cautious,MiniLM,10,100,0,0.0,5,500,1.0,5,0,40,0,0.0
mistral_full_cautious_pcb,BM25,10,100,9,9.0,7,500,1.4,7,0,40,0,0.0
mistral_full_cautious_pcb,MiniLM,10,100,0,0.0,5,500,1.0,5,0,40,0,0.0
mistral_full_neutral,BM25,10,100,9,9.0,7,500,1.4,7,0,40,0,0.0
mistral_full_neutral,MiniLM,10,100,0,0.0,5,500,1.0,5,0,40,0,0.0
mistral_full_pcb,BM25,10,100,9,9.0,7,500,1.4,7,0,40,0,0.0
mistral_full_pcb,MiniLM,10,100,0,0.0,5,500,1.0,5,0,40,0,0.0
mistral_seed43_neutral,BM25,10,100,14,14.0,13,500,2.6,13,0,40,0,0.0
mistral_seed43_neutral,MiniLM,10,100,0,0.0,2,500,0.4,2,0,40,0,0.0
mistral_seed44_neutral,BM25,10,100,3,3.0,4,500,0.8,4,0,40,0,0.0
mistral_seed44_neutral,MiniLM,10,100,0,0.0,4,500,0.8,4,0,40,0,0.0
qwen_full_cautious,BM25,10,100,9,9.0,7,500,1.4,7,0,40,0,0.0
qwen_full_cautious,MiniLM,10,100,0,0.0,5,500,1.0,5,0,40,0,0.0
qwen_full_cautious_pcb,BM25,10,100,9,9.0,7,500,1.4,7,0,40,0,0.0
qwen_full_cautious_pcb,MiniLM,10,100,0,0.0,5,500,1.0,5,0,40,0,0.0
qwen_full_neutral,BM25,10,100,9,9.0,7,500,1.4,7,0,40,0,0.0
qwen_full_neutral,MiniLM,10,100,0,0.0,5,500,1.0,5,0,40,0,0.0
qwen_full_pcb,BM25,10,100,9,9.0,7,500,1.4,7,0,40,0,0.0
qwen_full_pcb,MiniLM,10,100,0,0.0,5,500,1.0,5,0,40,0,0.0
qwen_seed43_neutral,BM25,10,100,14,14.0,13,500,2.6,13,0,40,0,0.0
qwen_seed43_neutral,MiniLM,10,100,0,0.0,2,500,0.4,2,0,40,0,0.0
qwen_seed44_neutral,BM25,10,100,3,3.0,4,500,0.8,4,0,40,0,0.0
qwen_seed44_neutral,MiniLM,10,100,0,0.0,4,500,0.8,4,0,40,0,0.0
