variant,rung,probe_type,tp,fp,fn,tn,abstain,n_minus_parse,recall,recall_lo,recall_hi,precision,precision_lo,precision_hi,abstain_rate,abstain_lo,abstain_hi
FragmentOnly,isolated,cross_boundary,0,302,0,854,6,1156,0,0,1,0.0,0.0,0.012560294590230984,0.005190311418685121,0.002380872366830762,0.011277424377278755
FragmentOnly,isolated,supported,0,1200,0,0,0,1200,0,0,1,0.0,0.0,0.0031910006027347487,0.0,0.0,0.0031910006027347487
FragmentOnly,boundary_preserving_topk,cross_boundary,0,302,0,856,6,1158,0,0,1,0.0,0.0,0.012560294590230984,0.0051813471502590676,0.002376756686289285,0.011258028593944647
FragmentOnly,boundary_preserving_topk,supported,0,1200,0,0,0,1200,0,0,1,0.0,0.0,0.0031910006027347487,0.0,0.0,0.0031910006027347487
FragmentOnly,shared_vector_index,cross_boundary,1194,3,0,3,3,1200,1.0,0.9967930156429249,0.9999999999999999,0.9974937343358395,0.9926572456870139,0.999147285420399,0.0025,0.0008505818993887943,0.0073244637003322816
FragmentOnly,shared_vector_index,supported,0,1200,0,0,0,1200,0,0,1,0.0,0.0,0.0031910006027347487,0.0,0.0,0.0031910006027347487
FragmentOnly,summary_merge,cross_boundary,1184,7,0,9,7,1200,1.0,0.9967660172221068,1.0,0.9941225860621327,0.9879178227043048,0.9971501051877325,0.005833333333333334,0.0028284995479427,0.011991939381093476
FragmentOnly,summary_merge,supported,0,1200,0,0,0,1200,0,0,1,0.0,0.0,0.0031910006027347487,0.0,0.0,0.0031910006027347487
BcesvExact,isolated,cross_boundary,0,0,0,1156,6,1156,0,0,1,0,0,1,0.005190311418685121,0.002380872366830762,0.011277424377278755
BcesvExact,isolated,supported,0,0,0,1200,0,1200,0,0,1,0,0,1,0.0,0.0,0.0031910006027347487
BcesvExact,boundary_preserving_topk,cross_boundary,0,0,0,1158,6,1158,0,0,1,0,0,1,0.0051813471502590676,0.002376756686289285,0.011258028593944647
BcesvExact,boundary_preserving_topk,supported,0,0,0,1200,0,1200,0,0,1,0,0,1,0.0,0.0,0.0031910006027347487
BcesvExact,shared_vector_index,cross_boundary,1194,0,0,6,3,1200,1.0,0.9967930156429249,0.9999999999999999,1.0,0.9967930156429249,0.9999999999999999,0.0025,0.0008505818993887943,0.0073244637003322816
BcesvExact,shared_vector_index,supported,0,0,0,1200,0,1200,0,0,1,0,0,1,0.0,0.0,0.0031910006027347487
BcesvExact,summary_merge,cross_boundary,1184,0,0,16,7,1200,1.0,0.9967660172221068,1.0,1.0,0.9967660172221068,1.0,0.005833333333333334,0.0028284995479427,0.011991939381093476
BcesvExact,summary_merge,supported,0,0,0,1200,0,1200,0,0,1,0,0,1,0.0,0.0,0.0031910006027347487
BcesvNoisy(10%),isolated,cross_boundary,0,0,0,1156,128,1156,0,0,1,0,0,1,0.11072664359861592,0.09391102360290612,0.13012085320627095
BcesvNoisy(10%),isolated,supported,0,0,0,1200,504,1200,0,0,1,0,0,1,0.42,0.39237351334075915,0.4481370467556784
BcesvNoisy(10%),boundary_preserving_topk,cross_boundary,0,0,0,1158,127,1158,0,0,1,0,0,1,0.10967184801381692,0.09294822388357335,0.12897659801287645
BcesvNoisy(10%),boundary_preserving_topk,supported,0,0,0,1200,504,1200,0,0,1,0,0,1,0.42,0.39237351334075915,0.4481370467556784
